sis_course_id,assignment,current_rubric,suggested_rubric,overlap,decision,NOTES
LIFE341-202526,LIFE341.1 Cycle 1 Peer Review 40%,LIFE341 Peer Review Rubric 2526,School of Biosciences Essay Rubric (Undergraduate) 25/26,1,SKIP,changed to skip
LIFE343-202526,LIFE343 - Cycle 2 (Two-Part Paper)  - 60%,,School of Biosciences Essay Rubric (Undergraduate) 25/26,0,ADD,
LIFE343-202526,LIFE343.1 - Cycle 1 (Report on Taxa) - 40%,,School of Biosciences Scientific Report Rubric (Undergraduate) 2025/26,0,ADD,
LIFE347-202526,LIFE347.1 - Cycle 1 - Question and Submission Link (40%),LIFE347.1 Cycle 1,School of Biosciences Essay Rubric (Undergraduate) 25/26,0,SKIP,
LIFE347-202526,LIFE347.0 - Cycle 2 - Grant Writing Task and Submission Link (60%),SoBS General Rubric 24/25 (3),School of Biosciences Essay Rubric (Undergraduate) 25/26,1,REPLACE,
LIFE349-202526,LIFE349.1 - Final Report - 35%,SoBS General Rubric,School of Biosciences Scientific Report Rubric (Undergraduate) 2025/26,1,REPLACE,
LIFE355-202526,LIFE355.0 (40%) - Cycle 1 - Peer Review - Advanced skills,Peer Review rubric,School of Biosciences Essay Rubric (Undergraduate) 25/26,1,SKIP,changed to skip
LIFE365-202526,LIFE365.0 Cycle 1 40% Peer Review,LIFE365 Peer Review Rubric 2526,School of Biosciences Essay Rubric (Undergraduate) 25/26,1,SKIP,changed to skip
LIFE367-202526,LIFE367.1 Cycle 1 Essay 40%,,School of Biosciences Essay Rubric (Undergraduate) 25/26,0,ADD,
LIFE373-202526,LIFE373.1 Cycle 1 40% Written Assignment,,School of Biosciences Essay Rubric (Undergraduate) 25/26,0,ADD,
LIFE375-202526,LIFE375.1 Cycle 1 40% Question 1,,School of Biosciences Essay Rubric (Undergraduate) 25/26,0,ADD,
LIFE375-202526,LIFE375.1 Cycle 1 40% Question 2,,School of Biosciences Essay Rubric (Undergraduate) 25/26,0,ADD,
LIFE401-202526,LIFE401.0 (100%) -- Q1 submission link (RB),,School of Biosciences Essay Rubric (Postgraduate) 25/26,0,ADD,
LIFE401-202526,LIFE401.0 (100%) -- Q2 submission link (MC),,School of Biosciences Essay Rubric (Postgraduate) 25/26,0,ADD,
LIFE701-202526,LIFE701 - Internship Final Report - 65%,LIFE701 Final Report 2025/26,School of Biosciences Scientific Report Rubric (Postgraduate) 2025/26,1,SKIP,changed to skip
LIFE701-202526,LIFE701 - Internship Final Report -- submission for placement students - 65%,LIFE701 Final Report 2025/26,School of Biosciences Scientific Report Rubric (Postgraduate) 2025/26,1,SKIP,changed to skip
LIFE701-202526,LIFE701.2 - Internship Talk (slides submission link) Marker 1 - 10%,LIFE701.2 Internship Talk 2025/26,School of Biosciences Essay Rubric (Postgraduate) 25/26,0,SKIP,
LIFE701-202526,LIFE701.2 - Internship Talk (slides submission link) Marker 2 - 10%,LIFE701.2 Internship Talk 2025/26,School of Biosciences Essay Rubric (Postgraduate) 25/26,0,SKIP,
LIFE707-202526,LIFE707.1  (40%) -- Cycle 1,Stats data analysis rubric,School of Biosciences Essay Rubric (Postgraduate) 25/26,1,SKIP,changed to skip
LIFE749-202526,LIFE749.1 (30%) -- Cycle 1 Video Submission,LIFE749.1 Rubric,School of Biosciences Essay Rubric (Postgraduate) 25/26,1,SKIP,changed to skip
LIFE765-202526,LIFE765.1 Cycle 1 50% Written Assessment Q1 Carr,,School of Biosciences Essay Rubric (Postgraduate) 25/26,0,ADD,
LIFE765-202526,LIFE765.1 Cycle 1 50% Written Assessment Q2 Goldring,,School of Biosciences Essay Rubric (Postgraduate) 25/26,0,ADD,
LIFE765-202526,LIFE765.1 Cycle 1 50% Written Assessment Q3 Cross,,School of Biosciences Essay Rubric (Postgraduate) 25/26,0,ADD,
LIFE765-202526,LIFE765.1 Cycle 1 50% Written Assessment Q4 Duckworth,,School of Biosciences Essay Rubric (Postgraduate) 25/26,0,ADD,
LIFE765-202526,LIFE765.1 Cycle 1 50% Written Assessment Q5 Dickens,,School of Biosciences Essay Rubric (Postgraduate) 25/26,0,ADD,
LIFE765-202526,LIFE765.1 Cycle 1 50% Written Assessment Q6 Das,,School of Biosciences Essay Rubric (Postgraduate) 25/26,0,ADD,
LIFE765-202526,LIFE765.1 Cycle 1 50% Written Assessment Q7 Chadwick,,School of Biosciences Essay Rubric (Postgraduate) 25/26,0,ADD,
LIFE765-202526,LIFE765.1 Cycle 1 50% Written Assessment Q8 Naisbitt,,School of Biosciences Essay Rubric (Postgraduate) 25/26,0,ADD,
